State,Room size,weight,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021
MS,3bedroom,311,117620.7413,117839.908,118103.8949,118383.1397,118596.4066,118783.7051,119012.51,119266.9062,119480.3551,119647.7637,119840.5708,120070.3681
MS,4bedroom,280,199542.7211,199995.066,199842.2893,200038.3185,199769.2378,199984.3526,199768.9041,199959.8139,199778.2231,199970.27,199788.2184,199956.3065
MS,5bedroomOrMore,178,231616.7036,231792.6596,231811.5672,231852.6308,231815.3739,231792.1429,231793.6976,231788.5218,231808.5248,231806.7725,231808.1697,231805.0863
MS,AllHomes,337,113207.7619,113408.4438,113597.6123,113783.7302,113924.8712,114066.7926,114224.4133,114374.1387,114523.6597,114660.0465,114782.1955,114907.0412
MT,1bedroom,178,213904.0773,214552.162,215169.4543,215773.4817,216343.3696,216888.1641,217406.9014,217904.1351,218384.1054,218839.6033,219279.083,219693.7654
MT,2bedroom,206,224627.8925,225444.3346,226275.3552,227057.3216,227805.5595,228586.7277,229342.0534,230059.7674,230779.293,231484.7876,232174.6111,232855.8311
MT,3bedroom,218,276962.8447,277954.0267,278993.2742,280069.699,281102.6218,282140.5312,283121.8229,284122.5925,285150.0556,286189.2622,287239.3627,288244.999
MT,4bedroom,196,332219.3637,333583.588,335017.5143,336549.7383,338093.1955,339517.5331,340897.7039,342392.2461,343934.642,345381.395,346757.6102,348202.5486
MT,5bedroomOrMore,157,393118.9479,394403.8445,395850.6631,397051.7023,398349.9076,399631.6073,400862.4439,402101.9232,403306.0757,404511.4544,405686.9013,406854.128
MT,AllHomes,231,259562.0428,260532.6793,261552.6465,262479.4461,263380.2877,264349.6992,265281.6273,266166.571,267100.5241,268023.4145,268891.3228,269789.6905
NC,1bedroom,457,121923.4401,122129.8365,122298.9747,122456.5155,122621.7779,122766.1904,122891.7212,123023.2486,123146.3097,123248.6038,123351.7594,123454.9799
NC,2bedroom,709,126218.3806,126515.2247,126804.2669,127056.0395,127310.2307,127556.5463,127781.3895,127985.4441,128194.7397,128381.3168,128552.0922,128713.2927
NC,3bedroom,754,179076.766,179479.0124,179881.099,180260.964,180617.7706,180948.1498,181260.2429,181565.3016,181862.3099,182155.1355,182434.6397,182700.0454
NC,4bedroom,701,258428.0398,258825.801,259155.5006,259605.9684,259882.3859,260232.7096,260554.9108,260869.2199,261083.7762,261435.5668,261632.2505,261873.0826
NC,5bedroomOrMore,577,351948.117,352339.0629,352712.812,353078.5807,353395.3416,353724.9998,354046.2321,354355.691,354650.404,354932.4951,355208.917,355476.4875
NC,AllHomes,773,176509.2215,176868.0656,177214.0041,177586.8983,177903.6249,178223.7878,178483.6887,178737.9106,178978.3268,179209.0864,179462.8007,179684.9484
ND,1bedroom,26,99406.23186,99381.67651,99355.02087,99338.28335,99309.2672,99291.06997,99267.71614,99246.93841,99229.63523,99207.15452,99191.45652,99171.21354
ND,2bedroom,91,128979.0593,128549.9077,128702.6567,128919.4395,128196.7846,128110.8292,128014.9217,127022.2987,126730.5925,126357.7521,125152.8148,124708.6998
ND,3bedroom,142,158591.1926,159100.9497,159330.2934,159722.1751,159481.9485,159395.3995,159564.8677,159858.5168,160378.1359,160304.668,160254.4668,160126.7847
ND,4bedroom,118,191819.326,192023.6454,192130.2684,192363.18,192469.0036,192523.1852,192683.4111,192697.4355,192714.4661,192797.8482,192742.0908,192725.7843
ND,5bedroomOrMore,76,254676.1835,254158.7507,254247.0918,254986.1392,255256.0352,256492.3721,256420.5039,257117.8586,256709.9758,257150.6765,257178.9434,257845.185
ND,AllHomes,176,160003.2083,159792.7336,159964.0984,159998.6605,159583.9164,159202.0986,159187.3652,158946.7461,158293.8127,157772.2248,157583.131,157089.4615
NE,1bedroom,213,114981.8111,115003.9771,115053.1775,115102.3036,115118.6132,115143.4348,115191.4721,115221.8153,115232.9698,115266.2412,115306.3336,115322.3703
NE,2bedroom,351,106355.7671,106431.9374,106460.1833,106430.4308,106403.9043,106401.5768,106429.1361,106501.4327,106564.4245,106608.9882,106619.3378,106583.3152
NE,3bedroom,369,144957.3893,145103.8231,145300.2131,145457.3376,145610.4582,145775.2214,145897.8062,146071.4607,146189.0257,146344.5341,146466.2963,146588.0231
NE,4bedroom,335,177122.1492,177394.7052,177641.679,177914.678,178166.5224,178418.9681,178652.238,178909.2395,179141.6895,179376.6413,179597.3717,179838.1396
NE,5bedroomOrMore,267,213428.0134,213546.2056,213663.148,213774.9843,213886.9642,213996.4301,214102.846,214206.334,214308.754,214408.6265,214506.0438,214601.2632
NE,AllHomes,415,134700.8171,134837.1973,134952.6064,135037.225,135126.499,135238.1293,135350.8278,135476.9785,135571.1898,135639.4321,135684.3205,135708.7913
NH,1bedroom,230,175199.3607,175664.1122,176045.6686,176462.9326,176909.8344,177349.7821,177741.6529,178126.2929,178503.6147,178876.8167,179222.6499,179557.3893
NH,2bedroom,239,229695.1497,230260.3767,230811.5943,231342.5495,231859.1178,232372.5177,232863.1746,233335.1128,233800.5177,234242.8265,234665.0264,235079.6164
NH,3bedroom,239,288557.7516,289378.9034,290135.8395,290909.0135,291641.074,292354.9254,293030.5431,293671.4147,294275.0312,294847.125,295393.5071,295921.0294
NH,4bedroom,239,348186.4954,348782.3235,349375.0013,349954.3726,350522.6287,351060.2883,351590.0501,352101.6067,352594.44,353070.8146,353532.4873,353976.6516
NH,5bedroomOrMore,231,439397.1186,440029.0515,440671.8072,441315.1202,441947.7651,442540.0737,443139.8326,443714.2195,444278.13,444825.0274,445362.5285,445882.8335
NH,AllHomes,239,282009.3755,282693.7925,283425.6295,284165.0718,284862.2217,285559.1724,286230.3592,286854.9894,287444.4781,287996.671,288515.4658,289014.1178
NJ,1bedroom,363,239308.1273,239480.3864,239645.1305,239802.5453,239950.7235,240089.2965,240223.1066,240350.299,240469.2669,240582.2236,240690.2249,240792.762
NJ,2bedroom,495,299111.5191,299454.2775,299772.0011,300076.1642,300360.5584,300624.9594,300875.6313,301112.0982,301329.1661,301536.1399,301729.8267,301908.5241
NJ,3bedroom,510,374812.5835,375225.987,375598.0242,375966.9228,376298.0402,376629.841,376922.3049,377223.4345,377479.6907,377755.1466,377978.2819,378231.4202
NJ,4bedroom,507,473644.5018,473852.51,474107.735,474298.1571,474527.5806,474714.6011,474890.0431,475076.041,475200.0805,475366.1566,475465.01,475585.8767
NJ,5bedroomOrMore,481,610717.2068,611321.8116,611774.1787,612193.9246,612642.5303,613217.9522,613555.5472,614007.8533,614497.1778,614964.0272,615269.5731,615799.4528
NJ,AllHomes,554,406204.6974,406500.2956,406770.2413,407031.8484,407271.0733,407502.0652,407715.7263,407919.1717,408111.1186,408290.1102,408462.9211,408620.6771
NM,1bedroom,82,135978.272,137042.7421,136964.1915,137509.5842,137076.4802,137711.4297,137919.571,138555.1285,138513.7643,138497.4786,138726.7676,139013.8779
NM,2bedroom,127,154354.0038,154922.3147,155399.7271,155841.7412,156250.4179,156687.5006,157110.9064,157504.3249,157893.2506,158273.6484,158640.1898,158996.8722
NM,3bedroom,140,191268.2269,191596.5999,192243.3912,192588.6237,192781.8513,193290.0082,193485.7865,193642.7471,194057.3832,194178.4471,194326.6927,194684.0048
NM,4bedroom,109,254414.6911,254879.7858,255306.6169,256036.1282,256064.9488,256494.5257,256906.6599,256940.3707,257427.3154,257560.5139,257610.0229,257941.1397
NM,5bedroomOrMore,75,319849.3444,320357.7293,320756.3152,321313.0629,321668.4663,322082.7774,322708.4707,323148.1612,323639.8281,324246.642,324616.6352,325039.0018
NM,AllHomes,185,175882.9582,176513.6265,176861.1086,177242.3593,177501.8767,177943.0171,178154.9754,178472.608,178726.317,179125.1534,179301.7943,179625.9109
NV,1bedroom,41,177128.911,177329.4336,177519.7344,177693.291,177858.3183,178011.8754,178154.4159,178289.3636,178413.8451,178531.1983,178640.6311,178742.5519
NV,2bedroom,65,212842.877,213174.8455,213483.691,213764.6228,214014.5962,214249.0004,214477.9784,214692.1309,214884.8938,215060.4612,215223.6769,215378.1742
NV,3bedroom,68,283877.0386,284227.379,284552.4316,284850.2092,285134.0376,285400.2095,285653.5066,285894.4661,286120.8822,286337.9075,286540.8622,286735.0206
NV,4bedroom,55,406384.7826,406928.5773,407439.346,407919.6202,408375.9861,408811.0119,409231.2386,409640.4042,410032.6469,410402.6006,410751.7363,411083.6235
NV,5bedroomOrMore,46,559728.6458,560066.1574,560640.9789,561102.3632,561570.3946,561822.2452,562260.5444,562642.544,563078.4414,563289.9245,563619.3728,563914.9363
NV,AllHomes,78,273585.7779,273873.289,274134.3067,274372.3431,274591.4921,274800.7393,274996.1268,275182.1917,275357.5501,275520.5477,275675.8192,275819.2521
NY,1bedroom,867,180518.4657,180712.742,180886.4068,181067.8065,181240.5071,181390.7103,181543.2534,181694.1779,181825.5741,181953.9341,182084.4615,182200.1206
NY,2bedroom,1116,200218.3726,200529.7058,200828.4436,201106.787,201371.9688,201625.7174,201865.4277,202096.4113,202319.4032,202531.9629,202737.5584,202936.5043
NY,3bedroom,1187,242048.2354,242402.7665,242737.1424,243051.0556,243344.5404,243618.649,243877.1259,244121.9523,244357.9199,244586.4578,244810.0609,245028.5867
NY,4bedroom,1136,290386.2977,290717.8361,291031.1311,291336.1428,291625.1754,291898.9664,292166.9748,292423.1204,292664.785,292901.0285,293128.5279,293342.3945
NY,5bedroomOrMore,1048,373238.3561,373593.2612,373916.2604,374224.4403,374520.6043,374807.9586,375086.9852,375357.6437,375619.5916,375872.613,376116.6732,376351.9181
NY,AllHomes,1216,261501.4453,261843.5397,262180.6786,262511.4976,262831.5416,263142.1115,263441.3728,263726.0413,263997.2926,264254.0137,264494.6394,264720.965
OH,1bedroom,788,88142.01063,88351.24412,88526.80143,88695.55635,88883.49774,89051.94911,89195.04947,89355.06873,89516.57872,89646.52433,89777.11373,89925.61369
OH,2bedroom,1078,108223.0435,108541.7944,108846.9961,109139.6012,109425.298,109699.1707,109964.2202,110222.005,110468.9613,110709.362,110941.7169,111165.1621
OH,3bedroom,1120,144340.8182,144721.4335,145093.7609,145451.6032,145800.2863,146137.9499,146463.8385,146781.9217,147087.7752,147385.9482,147674.1935,147953.0884
OH,4bedroom,1053,183854.9197,184275.6178,184682.549,185076.8928,185460.1401,185831.431,186191.9446,186542.3484,186882.3235,187212.2054,187533.1714,187844.4153
OH,5bedroomOrMore,892,232434.2368,232683.2569,232955.82,233256.3418,233561.2549,233830.1055,234017.4285,234161.161,234282.1961,234449.0418,234644.4166,234845.5553
OH,AllHomes,1153,143340.7804,143690.3399,144040.0962,144378.6016,144697.8328,145006.9824,145317.6855,145613.1219,145894.7606,146172.8762,146448.7856,146708.0112
OK,1bedroom,272,58204.56429,58287.83632,58412.18944,58539.42397,58622.77502,58718.65206,58841.5108,58957.30329,59038.47638,59140.00007,59260.0096,59365.50626
OK,2bedroom,516,63163.56512,63378.7401,63580.28504,63789.00376,63979.02592,64171.37835,64352.19942,64539.55682,64722.4848,64908.09722,65085.16863,65257.74326
OK,3bedroom,603,101123.3311,101456.5761,101804.7917,102165.2947,102524.8052,102873.6093,103204.6575,103516.4981,103811.9551,104096.6437,104376.6489,104656.7278
OK,4bedroom,471,158023.5979,158413.9319,158810.8554,159226.904,159654.936,160074.205,160466.2429,160825.8863,161165.4169,161505.3069,161862.193,162237.7414
OK,5bedroomOrMore,240,214549.8469,214846.7603,215114.0187,215396.5073,215694.2022,215996.3965,216274.7331,216546.3866,216841.0602,217140.4915,217428.1748,217700.0178
OK,AllHomes,628,92297.08502,92616.91708,92939.93384,93270.45193,93598.10306,93918.61883,94227.70065,94524.83667,94811.58286,95091.17084,95367.08646,95642.15157
OR,1bedroom,270,236097.6707,236484.9492,236832.0018,237117.8756,237404.9167,237686.1674,237916.3805,238103.8271,238304.8973,238486.6356,238616.0382,238724.7807
OR,2bedroom,343,246694.5043,247150.9702,247566.7827,247937.6482,248297.3418,248618.2353,248901.0456,249166.651,249410.4172,249609.9331,249799.2807,249968.3389
OR,3bedroom,351,312263.8742,312764.1395,313232.1051,313664.2742,314063.5275,314429.6366,314765.6854,315071.116,315348.6969,315598.9275,315823.2215,316023.3079
OR,4bedroom,317,376917.7746,377448.3897,377945.0923,378403.9279,378823.2906,379208.8353,379558.7878,379876.1834,380161.3484,380416.6311,380642.3652,380841.0699
OR,5bedroomOrMore,274,442292.0743,442836.7142,443309.4559,443789.162,444224.7749,444616.1976,445016.9395,445343.5242,445677.1163,445974.1929,446227.5001,446492.2357
OR,AllHomes,368,303358.8181,303826.8739,304258.9122,304659.3668,305022.8705,305360.9044,305662.1369,305940.7786,306185.6521,306408.3176,306602.3726,306773.3251
PA,1bedroom,754,115993.0138,116143.7946,116293.2522,116497.5542,116650.8887,116772.7572,116922.8065,117092.4201,117194.7133,117303.2317,117444.7653,117567.1084
PA,2bedroom,1573,130553.6483,130796.7378,131022.7525,131237.4817,131443.9566,131644.6329,131837.8436,132024.3505,132203.5084,132376.2427,132542.4865,132702.7279
PA,3bedroom,1833,161207.1328,161472.619,161769.2013,162011.7222,162234.474,162500.339,162706.0071,162912.5852,163147.7828,163336.2864,163523.2378,163742.0041
PA,4bedroom,1638,208954.8083,209224.1548,209484.3883,209733.9769,209970.0224,210200.8334,210424.5365,210637.0804,210845.2478,211048.2061,211241.0767,211429.8868
PA,5bedroomOrMore,1210,271827.6008,272010.7598,272194.03,272378.2575,272559.8736,272731.9979,272900.4105,273070.4551,273239.6677,273402.6716,273558.8625,273715.0274
PA,AllHomes,1943,165998.6688,166264.2943,166512.9925,166750.1325,166978.4053,167201.6805,167420.8201,167637.7553,167851.6433,168062.9664,168269.9182,168472.3788
RI,1bedroom,40,226013.1837,226494.8703,226900.8659,227272.7394,227652.733,228043.0794,228402.2498,228699.6345,228962.0724,229229.5142,229515.4057,229784.4321
RI,2bedroom,43,298448.3597,299078.7374,299666.922,300221.7277,300747.8969,301235.2772,301706.0883,302137.9321,302556.1114,302943.4719,303311.7574,303662.0505
RI,3bedroom,43,360608.776,361152.9673,361698.5147,362175.7295,362653.0308,363073.0918,363487.6575,363854.796,364216.0522,364531.4903,364848.2406,365115.2999
RI,4bedroom,43,445254.8571,445938.8315,446546.5844,447147.293,447690.4277,448215.5335,448702.9593,449159.1276,449597.1532,449991.9815,450384.7225,450726.4539
RI,5bedroomOrMore,42,607429.9518,608541.1785,609564.8213,610643.4613,611630.5088,612671.6608,613628.6118,614645.6234,615576.4209,616564.6001,617470.8095,618440.4124
RI,AllHomes,43,364562.9971,365386.4663,366093.7959,366805.5281,367449.7962,368036.2742,368636.61,369151.8066,369653.6,370148.9249,370563.2648,370997.802
SC,1bedroom,175,136242.5709,136295.6806,136346.5573,136394.9121,136441.9145,136479.6157,136506.8155,136527.4982,136544.413,136559.6607,136573.7752,136585.9485
SC,2bedroom,292,121546.1975,121651.7811,121791.285,121891.462,121905.5541,122016.1378,122130.6792,122186.0096,122189.1338,122298.1692,122376.1424,122390.606
SC,3bedroom,331,163014.0931,163241.4072,163463.0827,163674.6801,163875.1132,164068.7363,164255.7009,164437.3045,164609.2958,164774.1357,164932.136,165086.3374
SC,4bedroom,310,235855.0119,236022.1699,236183.1384,236337.1056,236478.8977,236610.3075,236735.9785,236856.3251,236971.2224,237078.4239,237177.8839,237272.388
SC,5bedroomOrMore,243,344891.5639,345022.6076,345140.545,345241.0835,345347.2553,345451.5679,345533.195,345611.4677,345693.1166,345757.9016,345808.2216,345863.7285
SC,AllHomes,341,158482.9969,158709.963,158919.2123,159124.9632,159323.0225,159510.5217,159685.0309,159853.8821,160016.7286,160171.4462,160316.4894,160455.5552
SD,1bedroom,60,105105.5192,105498.8567,105800.0765,105919.392,106113.6071,106558.2494,106754.1513,106846.4224,107207.9296,107542.9187,107690.1161,107851.2644
SD,2bedroom,124,137142.9232,137363.9354,137860.4717,138063.798,138240.0056,138745.2274,138970.9886,139131.0286,139617.0205,139885.6969,140017.7627,140493.2975
SD,3bedroom,154,165372.1536,165702.1168,165835.3269,166243.3781,166714.8432,166882.8404,167134.152,167646.0032,167949.7659,168095.5794,168523.121,168972.1472
SD,4bedroom,132,206307.0183,206659.9946,207006.1204,207445.1556,207853.4766,208183.4029,208574.5193,209018.7068,209378.3862,209721.5597,210155.8715,210565.333
SD,5bedroomOrMore,104,270171.9397,270674.5035,271186.4619,271697.8737,272206.1053,272714.0828,273224.5477,273731.0775,274239.0555,274746.6443,275252.8973,275759.4145
SD,AllHomes,175,166441.1665,166606.6187,166730.0982,167384.1913,167806.4562,167836.424,168262.5478,168912.7321,169031.585,169213.2739,169872.0184,170247.4775
TN,1bedroom,232,122791.2898,123015.6928,123229.4205,123489.151,123791.3287,124073.3433,124289.8181,124457.0261,124639.1147,124872.0402,125127.9061,125345.6623
TN,2bedroom,475,111932.8271,112396.4023,112845.7844,113288.5827,113722.2083,114144.8627,114549.0962,114931.8501,115290.1945,115627.1271,115946.3449,116253.9858
TN,3bedroom,512,162409.8199,163138.7949,163824.1481,164479.0814,165103.6516,165699.4723,166269.7352,166820.2042,167346.2315,167853.1739,168342.1301,168813.3764
TN,4bedroom,476,224750.2699,225524.078,226254.8683,226941.4637,227609.9143,228261.7886,228904.9491,229541.7514,230145.8584,230711.5977,231266.1449,231819.2967
TN,5bedroomOrMore,380,306800.6096,307398.4813,307992.9149,308556.5735,309117.75,309653.5398,310177.0913,310686.0148,311172.7286,311652.7811,312106.663,312554.8845
TN,AllHomes,528,158090.0065,158806.6978,159463.8599,160091.0136,160697.4073,161273.4522,161824.0691,162362.9975,162885.6958,163383.0421,163863.5103,164334.854
TX,1bedroom,540,137850.6847,138058.0784,138268.7747,138482.0122,138683.9367,138869.1792,139048.0263,139227.6445,139404.0301,139569.5357,139725.6231,139878.2555
TX,2bedroom,1072,136944.942,137157.1583,137316.4285,137447.4514,137602.807,137780.03,137929.486,138033.9136,138131.0497,138257.5225,138391.5611,138492.0298
TX,3bedroom,1303,192388.6662,192628.141,192864.251,193100.9343,193332.5048,193551.4705,193767.754,193986.6148,194202.6714,194407.5993,194608.0671,194811.0493
TX,4bedroom,1130,269419.6007,269670.1374,269911.4552,270147.7405,270380.9446,270610.8918,270835.5894,271056.1377,271273.8573,271487.8734,271697.3864,271903.3767
TX,5bedroomOrMore,780,377571.6647,377975.4626,378416.734,378862.2764,379267.0855,379697.4467,380148.9564,380558.5853,380978.6179,381431.4683,381849.3379,382260.5527
TX,AllHomes,1518,182344.2,182437.8031,182522.8911,182602.3441,182677.9724,182750.7614,182821.0318,182889.1857,182955.4056,183019.7072,183082.2625,183143.116
UT,1bedroom,95,261015.6789,261504.7405,261968.4489,262400.4931,262812.6379,263200.7823,263558.4843,263893.3257,264207.2045,264495.6945,264762.528,265011.4855
UT,2bedroom,167,266625.8346,267162.688,267686.3346,268181.2606,268615.2534,269023.0006,269405.5234,269764.4141,270097.3022,270405.7687,270693.5899,270961.6084
UT,3bedroom,214,315513.3711,315890.9269,316261.0146,316628.8983,316894.9488,317133.6261,317351.3864,317554.7223,317745.6753,317918.9806,318075.8033,318217.6981
UT,4bedroom,212,367920.8463,368362.7082,368776.7117,369182.7894,369501.9143,369772.6678,370006.6275,370224.3672,370425.8693,370600.1141,370751.2625,370880.9041
UT,5bedroomOrMore,195,430897.6924,431108.7808,431040.3461,430589.6383,430166.782,430127.9663,430163.3598,429844.3317,429234.8362,428835.6193,428764.0133,428619.2661
UT,AllHomes,257,324060.7228,324351.3368,324623.2454,324881.7566,325075.1417,325246.7674,325402.9684,325546.4412,325679.6841,325799.1969,325906.0943,326001.831
VA,1bedroom,434,157695.0854,157801.2653,157899.381,157989.5476,158073.1596,158155.7909,158232.7565,158305.9052,158371.498,158432.7033,158491.6104,158547.4694
VA,2bedroom,622,159478.8511,159615.8579,159742.2394,159858.2519,159968.0558,160072.0441,160167.4456,160254.9096,160337.9474,160416.7427,160488.7859,160554.6918
VA,3bedroom,668,212643.8086,212862.1847,213054.2285,213250.3086,213444.2177,213625.5738,213784.4907,213950.6787,214115.0997,214267.9025,214401.69,214545.2233
VA,4bedroom,634,293190.0689,293407.5514,293612.1612,293805.7304,293990.7813,294165.2149,294329.9116,294487.6156,294636.2838,294776.4851,294910.8336,295037.5876
VA,5bedroomOrMore,513,389173.3951,389305.5616,389600.0487,389719.2782,390000.5923,390104.9445,390370.3566,390464.1258,390717.0271,390797.7288,391037.6624,391109.3134
VA,AllHomes,678,221814.1931,221987.6561,222155.6649,222319.3753,222477.4647,222628.7609,222771.5534,222904.555,223028.1711,223143.2165,223250.9804,223353.1683
VT,1bedroom,100,169476.0642,169637.2391,169842.8869,170034.1329,170212.5358,170426.4979,170592.8446,170785.5146,170979.0668,171145.3684,171354.9343,171527.8842
VT,2bedroom,236,183712.3571,184019.0193,184319.611,184603.7668,184874.3151,185133.9239,185388.0609,185634.284,185869.303,186095.582,186314.7673,186526.3154
VT,3bedroom,257,226093.1901,226533.1211,226977.7855,227398.4766,227796.3042,228184.3725,228553.8314,228918.4135,229267.2753,229602.9009,229930.6687,230241.7282
VT,4bedroom,238,270055.9997,270454.9985,270825.9728,271192.7567,271545.3484,271881.6909,272210.6062,272522.2407,272827.9879,273118.4511,273401.4216,273672.337
VT,5bedroomOrMore,179,326405.4725,326710.2883,327009.5924,327284.5067,327557.0447,327850.2333,328145.7046,328422.8192,328689.7254,328969.1904,329258.2468,329535.8521
VT,AllHomes,260,225440.6027,225875.5303,226313.0294,226697.0616,227052.0003,227427.4715,227805.8446,228138.1651,228443.7167,228766.9605,229094.0808,229381.6722
WA,1bedroom,363,259929.6215,260560.1099,261154.4448,261720.2451,262246.0553,262759.7664,263229.5385,263678.6979,264097.216,264497.6369,264857.7778,265208.0575
WA,2bedroom,433,307730.6117,308575.3722,309358.7195,310084.4181,310854.7981,311572.4103,312233.2163,312862.6435,313466.8238,314056.7998,314616.1786,315142.5171
WA,3bedroom,454,368502.8001,369380.7454,370179.7485,370908.0417,371728.6267,372492.8453,373223.7191,373918.3031,374572.0966,375188.4455,375768.5956,376314.4128
WA,4bedroom,425,450635.0515,451537.3278,452358.4391,453091.3985,453975.6939,454805.0209,455579.7111,456284.5796,456954.906,457595.4485,458207.1119,458786.0664
WA,5bedroomOrMore,368,542123.8457,543136.4917,544066.9913,544924.5304,545910.5482,546818.121,547639.0728,548402.4327,549139.1468,549865.7271,550559.869,551211.5807
WA,AllHomes,468,367889.0793,368716.1219,369459.3648,370134.9293,370940.5917,371675.6398,372361.8259,372998.5258,373588.4249,374151.5835,374684.7256,375188.8961
WI,1bedroom,355,126916.6694,127120.6687,127310.7259,127463.4457,127613.5761,127783.6304,127953.4679,128103.2205,128238.0682,128377.7409,128522.7324,128660.7513
WI,2bedroom,752,153595.1353,153744.8516,153855.6903,153945.0492,154006.9926,154055.7129,154087.2062,154115.9368,154137.9253,154150.5074,154161.6553,154167.9707
WI,3bedroom,820,200012.2479,200123.637,200213.5483,200282.7045,200313.1488,200325.1357,200327.2042,200341.3097,200355.9281,200368.3206,200366.559,200362.1803
WI,4bedroom,787,244385.3729,244652.0947,244898.7975,245140.9583,245338.3191,245547.6443,245727.8335,245924.5746,246117.1867,246314.5556,246519.1494,246712.1127
WI,5bedroomOrMore,637,311049.4735,311342.741,311605.7493,311849.5916,312095.0355,312338.1212,312562.6072,312792.5558,313015.5742,313229.7779,313441.4585,313650.9597
WI,AllHomes,837,201781.8503,201883.4129,201962.7669,202022.1507,202047.9663,202047.2027,202045.5374,202057.9226,202076.8417,202088.1203,202088.0209,202083.126
WV,1bedroom,316,62431.62646,62457.01809,62491.9357,62517.21961,62551.45747,62574.18919,62604.32841,62624.09541,62652.40664,62671.64291,62698.6162,62715.99693
WV,2bedroom,473,67526.38516,67596.12787,67658.31872,67734.20042,67788.83703,67845.9069,67881.29906,67928.87509,67967.94223,68024.75661,68068.76756,68118.91118
WV,3bedroom,505,94828.79933,94908.77486,94986.8752,95060.95012,95131.58975,95199.51898,95262.74961,95323.83345,95381.56008,95436.64945,95489.78742,95539.60526
WV,4bedroom,459,117774.6991,117821.0489,117863.7284,117905.1824,117948.6956,117990.0415,118028.766,118068.9161,118108.7792,118145.5615,118182.4974,118220.3244
WV,5bedroomOrMore,298,151830.8982,151914.8112,151883.0802,151825.6832,151886.186,151955.2622,151906.9274,151865.3691,151938.6128,151989.2789,151929.4754,151906.5137
WV,AllHomes,513,88250.53193,88320.3772,88388.64218,88457.46604,88525.57,88591.74269,88655.82909,88716.39352,88774.49189,88829.4719,88882.07987,88932.50866
WY,1bedroom,91,187735.4925,188241.3364,188674.2157,189146.4418,189620.7122,190072.637,190514.2596,190954.6677,191394.7426,191819.6596,192241.8722,192657.064
WY,2bedroom,129,215740.8661,216355.9339,216914.7677,217570.0973,218252.9404,218881.2134,219543.8339,220141.7755,220757.3897,221388.2159,221995.0153,222635.1853
WY,3bedroom,143,285778.1627,286859.3383,287650.9786,288176.2559,288800.8511,289489.5839,289967.2348,290549.043,291203.0265,291704.0695,292228.8131,292875.2978
WY,4bedroom,119,357229.4309,358210.3119,359183.8025,359629.9427,360500.3253,361260.8729,361912.5384,362744.4118,363361.8875,364130.1201,364857.2827,365490.044
WY,5bedroomOrMore,99,451443.0658,453296.7013,453708.7706,453318.6552,453864.5532,456040.3707,457431.3135,457383.5898,457654.572,458685.9096,460194.69,461306.361
WY,AllHomes,152,261996.733,263101.6617,263743.8796,264210.4531,264667.6252,265031.0089,265228.3902,265341.0342,265395.7573,265372.9345,265278.4637,265137.0961
